城市,老龄人口数,设施总数,原始压力值(raw),适老化服务压力指数
普陀区,242618,14,16174.53333,100
成都市,3764087,413,9091.997585,99.79511293
和平区,112437,14,7495.8,92.55922738
哈尔滨市,2347081,418,5601.625298,81.64173134
绥化市,1046844,200,5208.179104,78.91225363
南阳市,2122825,408,5190.281174,78.78323534
青岛市,2042545,396,5144.949622,78.45445964
临沂市,2162905,425,5077.241784,77.95796233
苏州市,2162705,445,4849.11435,76.23499444
广州市,2130628,439,4842.336364,76.18257132
南通市,2318718,484,4780.861856,75.70372974
周口市,1824527,384,4739.031169,75.37436655
石家庄市,1919538,411,4659.072816,74.73662866
西安市,2075275,449,4611.722222,74.35378707
保定市,1827264,397,4591.115578,74.18594825
齐齐哈尔市,1138551,247,4590.931452,74.18444517
大连市,1769375,388,4548.521851,73.83662671
武汉市,2013707,453,4435.477974,72.893426
杭州市,2103300,474,4428,72.83018737
长春市,1591112,363,4371.186813,72.34622175
济南市,1837100,421,4353.317536,72.19270073
潍坊市,2043071,470,4337.730361,72.05827068
郑州市,1754197,409,4278.529268,71.54325844
菏泽市,1611416,389,4131.835897,70.23577269
烟台市,1823823,449,4052.94,69.51324328
南京市,1768047,436,4045.874142,69.44784942
济宁市,1630791,410,3967.861314,68.71816189
宁波市,1702600,430,3950.348028,68.55238185
毕节市,1132700,292,3865.870307,67.74225717
盐城市,1833073,478,3826.874739,67.36230817
邯郸市,1614499,427,3772.193925,66.82296104
徐州市,1772246,470,3762.730361,66.72882381
黄冈市,1332027,355,3741.648876,66.5182655
沈阳市,2107889,567,3711.072183,66.21075346
玉林市,1119400,302,3694.389439,66.04190412
驻马店市,1470313,398,3684.994987,65.94648522
温州市,1579700,428,3682.284382,65.91890854
贵港市,800200,226,3525.110132,64.28415611
唐山市,1760494,503,3493.043651,63.94169736
邵阳市,1361704,391,3473.734694,63.73396515
喀什地区,621500,179,3452.777778,63.50719323
怀化市,863093,249,3452.372,63.5027888
赣州市,1551948,458,3381.150327,62.72159867
衡阳市,1370957,407,3360.188725,62.48854742
合肥市,1429844,425,3356.441315,62.44673058
长沙市,1615349,484,3330.616495,62.15727957
昭通市,819300,248,3290.361446,61.70158593
佛山市,1629049,498,3264.627255,61.40734107
吉林市,934556,286,3256.292683,61.31154625
南宁市,1308400,408,3199.022005,60.64659113
张家口市,1032198,323,3185.796296,60.49133972
洛阳市,1337161,419,3183.716667,60.46686915
邢台市,1309866,411,3179.286408,60.4146859
桂林市,972100,313,3095.859873,59.41820702
达州市,1105000,356,3095.238095,59.41067992
聊城市,1128524,366,3074.997275,59.16482
阜阳市,1384205,451,3062.400442,59.01099151
荆州市,1112426,363,3056.115385,58.9340037
孝感市,904085,296,3044.057239,58.78585523
和田地区,343100,112,3036.283186,58.6900305
鞍山市,855285,281,3032.925532,58.64856744
沧州市,1439959,474,3031.492632,58.63085884
襄阳市,1095531,362,3017.991736,58.46359504
无锡市,1473752,488,3013.807771,58.41160768
六安市,934079,310,3003.469453,58.2828401
钦州市,599600,199,2998,58.2145367
文山壮族苗族自治州,569000,189,2994.736842,58.17372652
茂名市,1250900,417,2992.583732,58.14677463
资阳市,589200,198,2960.80402,57.74669669
红河哈尼族彝族自治州,668603,225,2958.420354,57.71651563
凉山彝族自治州,604400,204,2948.292683,57.58801132
德州市,1163199,395,2937.371212,57.44893949
商丘市,1382228,470,2934.666667,57.41442049
泉州市,1392291,474,2931.138947,57.36934724
渭南市,1101401,376,2921.488064,57.24576137
台州市,1295900,446,2899.105145,56.9575554
南充市,1154000,398,2892.230576,56.86859074
东莞市,1370300,475,2878.781513,56.69393175
恩施土家族苗族自治州,710212,246,2875.352227,56.64926612
福州市,1240544,436,2838.773455,56.16949529
上饶市,1283411,452,2833.136865,56.09501615
天水市,700048,247,2822.774194,55.95770156
泰安市,1207171,427,2820.492991,55.92740593
廊坊市,920699,327,2807.009146,55.74783123
曲靖市,991200,353,2800,55.65414413
永州市,900870,321,2797.732919,55.62379123
昆明市,1207000,434,2774.712644,55.31418344
新乡市,1089030,397,2736.256281,54.7911972
松原市,522214,191,2719.864583,54.56604164
四平市,456581,167,2717.744048,54.53681502
陇南市,489987,181,2692.236264,54.18345265
常德市,1212240,450,2687.89357,54.12295957
绍兴市,1190900,444,2676.179775,53.95929968
宜春市,1049988,393,2664.944162,53.8016465
泰州市,1274855,478,2661.492693,53.75308358
丹东市,585844,220,2650.877828,53.60333462
宜昌市,855104,323,2639.209877,53.43803615
天门市,390107,147,2635.858108,53.39041696
梧州市,561300,212,2635.211268,53.38122022
定西市,490032,185,2634.580645,53.37225188
百色市,603200,228,2634.061135,53.36486211
金华市,1129200,428,2632.167832,53.33791848
赤峰市,849600,322,2630.340557,53.31189613
衡水市,919688,355,2583.393258,52.63704576
揭阳市,1015400,393,2577.15736,52.54648596
信阳市,1158191,452,2556.713024,52.24804267
嘉兴市,1042600,407,2555.392157,52.22867889
湘西土家族苗族自治州,570218,223,2545.616071,52.08505066
岳阳市,1128698,445,2530.713004,51.86503346
宿州市,966564,383,2517.09375,51.6628339
扬州市,1186001,474,2496.844211,51.36016631
随州市,472105,189,2484.763158,51.17842135
黔东南苗族侗族自治州,750200,301,2484.10596,51.16850929
益阳市,793577,320,2472.202492,50.98852219
承德市,737794,299,2459.313333,50.79265143
